,*1,*x,*y,*x^2,*x*y,*y^2,*x^3,*x^2*y,*x*y^2,*y^3
0,0,,,,,,,,,
1,0,,,,,,,,,
2,sqrt(3)/2,,,,,,,,,
3,0,,,,,,,,,
4,,(3*x)/2,,,,,,,,
5,,,(3*sqrt(5)*y)/2,,,,,,,
6,0,,,,,,,,,
7, -sqrt(15)/4,,,(3*sqrt(15)*x^2)/4,,,,,,
8,,,,,(3*sqrt(15)*x*y)/2,,,,,
9, (-3*sqrt(7))/4,,,,,(15*sqrt(7)*y^2)/4,,,,
