,*1,*x,*y,*x^2,*x*y,*y^2,*x^3,*x^2*y,*x*y^2,*y^3
0,0,,,,,,,,,
1,0,,,,,,,,,
2,4*sqrt(3),,,,,,,,,
3,0,,,,,,,,,
4, -6*sqrt(2),30*sqrt(2)*x,,,,,,,,
5, -6*sqrt(30),6*sqrt(30)*x, 12*sqrt(30)*y,,,,,,,
6,0,,,,,,,,,
7, 4*sqrt(6), -48*sqrt(6)*x,,84*sqrt(6)*x^2,,,,,,
8,   12*sqrt(10), -96*sqrt(10)*x, -24*sqrt(10)*y,84*sqrt(10)*x^2, 168*sqrt(10)*x*y,,,,,
9, 24*sqrt(14), -48*sqrt(14)*x, -120*sqrt(14)*y,24*sqrt(14)*x^2, 120*sqrt(14)*x*y,   120*sqrt(14)*y^2,,,,
