,*1,*x,*y,*x^2,*x*y,*y^2,*x^3,*x^2*y,*x*y^2,*y^3
0,0,,,,,,,,,
1,sqrt(3)/2,,,,,,,,,
2,0,,,,,,,,,
3,,(3*sqrt(5)*x)/2,,,,,,,,
4,,,(3*y)/2,,,,,,,
5,0,,,,,,,,,
6, (-3*sqrt(7))/4,,,(15*sqrt(7)*x^2)/4,,,,,,
7,,,,,(3*sqrt(15)*x*y)/2,,,,,
8, -sqrt(15)/4,,,,,(3*sqrt(15)*y^2)/4,,,,
9,0,,,,,,,,,
