,*1,*x,*y,*x^2,*x*y,*y^2,*x^3,*x^2*y,*x*y^2,*y^3
0,1/2,,,,,,,,,
1,,(sqrt(3)*x)/2,,,,,,,,
2,,,(sqrt(3)*y)/2,,,,,,,
3, -sqrt(5)/4,,,(3*sqrt(5)*x^2)/4,,,,,,
4,,,,,(3*x*y)/2,,,,,
5, -sqrt(5)/4,,,,,(3*sqrt(5)*y^2)/4,,,,
6,, (-3*sqrt(7)*x)/4,,,,,(5*sqrt(7)*x^3)/4,,,
7,,,   -(sqrt(15)*y)/4,,,,,(3*sqrt(15)*x^2*y)/4,,
8,, -(sqrt(15)*x)/4,,,,,,,(3*sqrt(15)*x*y^2)/4,
9,,, (-3*sqrt(7)*y)/4,,,,,,,(5*sqrt(7)*y^3)/4
